user_id,month,age,city,plan,total_messages,total_mb,total_minutes,messages_included,mb_per_month_included,minutes_included,usd_monthly_pay,total_cost
1000,2018-12,45,"Atlanta-Sandy Springs-Roswell, GA MSA",ultimate,11.0,1901.47,116.83,1000,30720,3000,70,70.0
1001,2018-08,28,"Seattle-Tacoma-Bellevue, WA MSA",surf,30.0,6919.15,171.14,50,15360,500,20,20.0
1001,2018-09,28,"Seattle-Tacoma-Bellevue, WA MSA",surf,44.0,13314.82,297.69,50,15360,500,20,20.0
1001,2018-10,28,"Seattle-Tacoma-Bellevue, WA MSA",surf,53.0,22330.49,374.11,50,15360,500,20,88.16119140625003
1001,2018-11,28,"Seattle-Tacoma-Bellevue, WA MSA",surf,36.0,18504.3,404.59,50,15360,500,20,50.70605468749999
1001,2018-12,28,"Seattle-Tacoma-Bellevue, WA MSA",surf,44.0,19369.18,392.93,50,15360,500,20,59.1521484375
1002,2018-10,36,"Las Vegas-Henderson-Paradise, NV MSA",surf,15.0,6552.01,54.13,50,15360,500,20,20.0
1002,2018-11,36,"Las Vegas-Henderson-Paradise, NV MSA",surf,32.0,19345.08,359.76,50,15360,500,20,58.91679687500002
1002,2018-12,36,"Las Vegas-Henderson-Paradise, NV MSA",surf,41.0,14396.24,363.24,50,15360,500,20,20.0
1003,2018-01,52,"Tulsa, OK MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1003,2018-02,52,"Tulsa, OK MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1003,2018-03,52,"Tulsa, OK MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1003,2018-04,52,"Tulsa, OK MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1003,2018-05,52,"Tulsa, OK MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1003,2018-06,52,"Tulsa, OK MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1003,2018-07,52,"Tulsa, OK MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1003,2018-08,52,"Tulsa, OK MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1003,2018-09,52,"Tulsa, OK MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1003,2018-10,52,"Tulsa, OK MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1003,2018-11,52,"Tulsa, OK MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1003,2018-12,52,"Tulsa, OK MSA",surf,50.0,27044.14,1041.0,50,15360,500,20,150.33292968749998
1004,2018-05,40,"Seattle-Tacoma-Bellevue, WA MSA",surf,7.0,6547.21,181.58,50,15360,500,20,20.0
1004,2018-06,40,"Seattle-Tacoma-Bellevue, WA MSA",surf,18.0,20672.82,261.32,50,15360,500,20,71.8830078125
1004,2018-07,40,"Seattle-Tacoma-Bellevue, WA MSA",surf,26.0,24516.62,358.45,50,15360,500,20,109.42011718749998
1004,2018-08,40,"Seattle-Tacoma-Bellevue, WA MSA",surf,25.0,27981.739999999998,334.86,50,15360,500,20,143.25917968749997
1004,2018-09,40,"Seattle-Tacoma-Bellevue, WA MSA",surf,21.0,18852.72,284.6,50,15360,500,20,54.10859375000001
1004,2018-10,40,"Seattle-Tacoma-Bellevue, WA MSA",surf,24.0,14541.63,341.63,50,15360,500,20,20.0
1004,2018-11,40,"Seattle-Tacoma-Bellevue, WA MSA",surf,25.0,21850.78,452.98,50,15360,500,20,83.38652343749999
1004,2018-12,40,"Seattle-Tacoma-Bellevue, WA MSA",surf,31.0,21389.29,403.53000000000003,50,15360,500,20,78.87978515625001
1005,2018-11,31,"Dallas-Fort Worth-Arlington, TX MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1005,2018-12,31,"Dallas-Fort Worth-Arlington, TX MSA",surf,11.0,17140.17,470.22,50,15360,500,20,37.38447265624998
1006,2018-11,73,"San Francisco-Oakland-Berkeley, CA MSA",ultimate,15.0,2068.37,9.32,1000,30720,3000,70,70.0
1007,2018-07,42,"Grand Rapids-Kentwood, MI MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1007,2018-08,42,"Grand Rapids-Kentwood, MI MSA",surf,51.0,24439.88,427.95,50,15360,500,20,108.70070312500002
1007,2018-09,42,"Grand Rapids-Kentwood, MI MSA",surf,47.0,28123.95,375.83,50,15360,500,20,144.64794921875
1007,2018-10,42,"Grand Rapids-Kentwood, MI MSA",surf,59.0,37885.63,610.65,50,15360,500,20,243.56635546875
1007,2018-11,42,"Grand Rapids-Kentwood, MI MSA",surf,48.0,24334.0,490.29,50,15360,500,20,107.63671875
1007,2018-12,42,"Grand Rapids-Kentwood, MI MSA",surf,50.0,29069.28,579.43,50,15360,500,20,156.2625875
1008,2018-08,53,"Orlando-Kissimmee-Sanford, FL MSA",ultimate,0.0,0.0,0.0,1000,30720,3000,70,70.0
1008,2018-09,53,"Orlando-Kissimmee-Sanford, FL MSA",ultimate,0.0,0.0,0.0,1000,30720,3000,70,70.0
1008,2018-10,53,"Orlando-Kissimmee-Sanford, FL MSA",ultimate,21.0,17106.989999999998,450.21,1000,30720,3000,70,70.0
1008,2018-11,53,"Orlando-Kissimmee-Sanford, FL MSA",ultimate,37.0,23676.72,422.81,1000,30720,3000,70,70.0
1008,2018-12,53,"Orlando-Kissimmee-Sanford, FL MSA",ultimate,26.0,14689.33,600.29,1000,30720,3000,70,70.0
1009,2018-04,19,"San Jose-Sunnyvale-Santa Clara, CA MSA",surf,0.0,0.0,0.0,50,15360,500,20,20.0
1009,2018-05,19,"San Jose-Sunnyvale-Santa Clara, CA MSA",surf,0.0,20389.4,498.93,50,15360,500,20,69.11523437500001
1009,2018-06,19,"San Jose-Sunnyvale-Santa Clara, CA MSA",surf,0.0,18845.9,775.52,50,15360,500,20,62.30759218750001
1009,2018-07,19,"San Jose-Sunnyvale-Santa Clara, CA MSA",surf,0.0,30421.65,826.74,50,15360,500,20,176.88862578125
1009,2018-08,19,"San Jose-Sunnyvale-Santa Clara, CA MSA",surf,0.0,24557.52,680.39,50,15360,500,20,115.23123125000001
1009,2018-09,19,"San Jose-Sunnyvale-Santa Clara, CA MSA",surf,0.0,20962.4,730.47,50,15360,500,20,81.62503750000002
